X1433EPSILON
X4EBP1
X4EBP1_pS65
X53BP1
ACC1
AKT
AKT_pS473
AKT_pT308
AMPKALPHA
AR
ASNS
BCL2
BECLIN
BETACATENIN
BIM
CKIT
CASPASE7CLEAVEDD198
CAVEOLIN1
CDK1
CHK1_pS345
CHK2
CHK2_pT68
COLLAGENVI
CYCLINB1
CYCLINE1
DJ1
DVL3
ECADHERIN
EEF2
EGFR
EGFR_pY1068
ERALPHA
ERALPHA_pS118
GATA3
HER2
HER2_pY1248
HER3
IGFBP2
INPP4B
IRS1
JNK_pT183Y185
JNK2
LCK
MTOR_pS2448
NOTCH1
PCADHERIN
P27
P27_pT157
P38MAPK
P53
P70S6K1
PDK1_pS241
PEA15
PKCALPHA
PKCALPHA_pS657
PR
PTEN
RAD51
S6
S6_pS235S236
S6_pS240S244
SHC_pY317
SMAD1
SRC
STAT3_pY705
STATHMIN
SYK
VEGFR2
YAP
X4EBP1_pT70
ANNEXINVII
BAP1C4
CYCLINE2
EIF4G
FASN
FOXM1
G6PD
GAPDH
MYH11
NDRG1_pT346
P21
P27_pT198
PDK1
RAB11
RAPTOR
RBM15
SCD1
TFRC
X1433BETA
ANNEXIN1
PREX1
ENY2
ADAR1
CMET
CASPASE8
MSH2
MSH6
PARPCLEAVED
SLC1A5
GATA6
BRD4
CDK1_pY15
ARAF
BCL2A1
CASPASE3
COG3
DUSP4
IGF1R_pY1135Y1136
JAK2
P16INK4A
PDL1
