X1433EPSILON
X4EBP1
X4EBP1_pT37T46
ACC_pS79
ACC1
AKT
AMPKALPHA
ASNS
ATM
BECLIN
CKIT
CRAF
CAVEOLIN1
CD49B
CHK1
CHK2
CHK2_pT68
CIAP
CLAUDIN7
COLLAGENVI
CYCLINB1
CYCLIND1
CYCLINE1
DVL3
ECADHERIN
EEF2K
EGFR
EGFR_pY1068
EGFR_pY1173
EIF4E
ERALPHA
ERALPHA_pS118
ERK2
FOXO3A
GAB2
GATA3
HER3_pY1289
HSP70
INPP4B
IRS1
KU80
LCK
MAPK_pT202Y204
MEK1
MIG6
MRE11
NCADHERIN
PCADHERIN
P27_pT157
P38MAPK
P38_pT180Y182
P53
P70S6K_pT389
PAXILLIN
PCNA
PI3KP110ALPHA
PKCDELTA_pS664
PR
PRAS40_pT246
RAD50
RAD51
S6
SHC_pY317
SMAD3
SMAD4
SRC_pY416
STATHMIN
TUBERIN
VEGFR2
XRCC1
YAP_pS127
ARAF_pS299
ANNEXINVII
BAD_pS112
BAP1C4
CD20
ETS1
FASN
FOXO3A_pS318S321
FOXM1
NDRG1_pT346
P21
P27_pT198
PEA15_pS116
PI3KP85
PRDX1
RAB11
RAB25
RAPTOR
SF2
TAZ
TRANSGLUTAMINASE
XBP1
ANNEXIN1
ADAR1
ERCC1
MSH2
PARPCLEAVED
SETD2
SMAC
CDK1_pY15
ARAF
BCL2A1
DUSP4
IGF1R_pY1135Y1136
JAK2
P16INK4A
PDL1
