ENSG00000153002.10
ENSG00000110484.6
ENSG00000160182.2
ENSG00000162989.4
ENSG00000124935.3
ENSG00000170419.9
ENSG00000148513.16
ENSG00000244468.1
ENSG00000170099.5
ENSG00000235123.4
ENSG00000213759.7
ENSG00000256612.6
ENSG00000185686.16
ENSG00000159763.3
ENSG00000172551.9
ENSG00000235687.7
ENSG00000164756.11
ENSG00000134240.10
ENSG00000105141.5
ENSG00000240800.1
ENSG00000008196.11
ENSG00000173335.4
ENSG00000173467.7
ENSG00000234918.1
ENSG00000166006.11
ENSG00000169347.15
ENSG00000186160.4
ENSG00000256870.2
ENSG00000181092.8
ENSG00000183888.4
ENSG00000120251.17
ENSG00000223808.1
ENSG00000105388.13
ENSG00000162670.9
ENSG00000181617.5
ENSG00000196616.11
ENSG00000100867.13
ENSG00000248779.1
ENSG00000135346.7
ENSG00000164434.10
ENSG00000122584.11
ENSG00000178372.7
ENSG00000186526.11
ENSG00000096006.10
ENSG00000224559.2
ENSG00000145451.11
ENSG00000196091.11
ENSG00000241361.7
ENSG00000139352.3
ENSG00000186847.5
ENSG00000198650.9
ENSG00000160180.15
ENSG00000165863.15
ENSG00000171102.13
ENSG00000138696.9
ENSG00000235584.2
ENSG00000094755.15
ENSG00000141668.8
ENSG00000100362.11
ENSG00000185479.5
ENSG00000249203.1
ENSG00000130294.13
ENSG00000166426.7
ENSG00000078898.6
ENSG00000141750.6
ENSG00000157765.10
ENSG00000205420.9
ENSG00000133169.5
ENSG00000186081.10
ENSG00000114248.8
ENSG00000186910.3
ENSG00000167754.11
ENSG00000137975.7
ENSG00000086548.8
ENSG00000012223.11
ENSG00000124143.9
ENSG00000134757.4
ENSG00000164128.5
ENSG00000170367.4
ENSG00000151892.13
ENSG00000082175.13
ENSG00000164287.11
ENSG00000253802.1
ENSG00000253768.1
ENSG00000102243.11
ENSG00000237442.3
ENSG00000125999.9
ENSG00000243064.7
ENSG00000255974.5
ENSG00000204710.2
ENSG00000236313.1
ENSG00000161798.6
ENSG00000261175.4
ENSG00000135374.8
ENSG00000081479.11
ENSG00000204434.5
ENSG00000170743.15
ENSG00000167755.12
ENSG00000249346.5
ENSG00000180777.12
ENSG00000205426.9
ENSG00000252621.1
ENSG00000169550.11
ENSG00000106541.10
ENSG00000108018.14
ENSG00000259439.2
ENSG00000169035.10
ENSG00000152977.8
ENSG00000179023.8
ENSG00000167656.4
ENSG00000196090.11
ENSG00000268104.2
ENSG00000171199.8
ENSG00000129451.10
ENSG00000184564.8
ENSG00000065371.16
ENSG00000226745.2
ENSG00000009709.10
ENSG00000166415.13
ENSG00000126010.5
ENSG00000170893.3
ENSG00000007062.10
ENSG00000171557.15
ENSG00000101098.11
ENSG00000186832.7
ENSG00000255774.1
ENSG00000099960.11
ENSG00000238117.1
ENSG00000249599.1
ENSG00000107159.11
ENSG00000121270.14
ENSG00000170786.11
ENSG00000154198.13
ENSG00000117148.7
ENSG00000233508.2
ENSG00000181143.14
ENSG00000047457.12
ENSG00000091831.20
ENSG00000156076.8
ENSG00000263639.4
ENSG00000168702.15
ENSG00000185352.8
ENSG00000161031.11
ENSG00000189377.7
ENSG00000172478.16
ENSG00000249661.1
ENSG00000238178.5
ENSG00000253154.1
ENSG00000251141.4
ENSG00000124102.4
ENSG00000178363.4
ENSG00000196427.12
ENSG00000260318.1
ENSG00000233041.7
ENSG00000131771.12
ENSG00000128422.14
ENSG00000135226.15
ENSG00000244402.3
ENSG00000159212.11
ENSG00000162891.9
ENSG00000101210.9
ENSG00000140798.14
ENSG00000253125.1
ENSG00000174469.16
ENSG00000006071.10
ENSG00000228639.5
ENSG00000170477.11
ENSG00000147255.16
ENSG00000211896.5
ENSG00000198077.9
ENSG00000164129.10
ENSG00000110195.10
