X1433EPSILON
X4EBP1
X4EBP1_pS65
X4EBP1_pT37T46
ACC_pS79
AKT
AKT_pS473
AKT_pT308
AMPKALPHA_pT172
ASNS
BCL2
BECLIN
BID
BIM
CJUN_pS73
CKIT
CMET_pY1235
CMYC
CRAF
CD49B
CHK1_pS345
CHK2
CHK2_pT68
CYCLINB1
CYCLINE1
DVL3
EEF2
EGFR
EGFR_pY1068
EGFR_pY1173
ERK2
FIBRONECTIN
GAB2
GSK3ALPHABETA
GSK3ALPHABETA_pS21S9
HER3
HSP70
IGFBP2
INPP4B
JNK_pT183Y185
JNK2
KU80
LKB1
MAPK_pT202Y204
MEK1
MEK1_pS217S221
MIG6
MTOR_pS2448
NF2
P27_pT157
P38MAPK
P53
P90RSK_pT359S363
PAI1
PAXILLIN
PCNA
PDK1_pS241
PEA15
PI3KP110ALPHA
PKCALPHA
PKCALPHA_pS657
PKCDELTA_pS664
PRAS40_pT246
RB_pS807S811
S6_pS235S236
STAT5ALPHA
SYK
YAP
YB1
BAD_pS112
CD20
CYCLINE2
EIF4G
FOXM1
G6PD
GAPDH
MYH11
NRAS
NDRG1_pT346
PDK1
PEA15_pS116
PKCPANBETAII_pS660
RAB25
RBM15
RICTOR_pT1135
SCD1
TIGAR
TRANSGLUTAMINASE
TFRC
TUBERIN_pT1462
EPPK1
X1433ZETA
ACVRL1
DIRAS3
JAB1
CMET
MSH2
MSH6
RB
SETD2
BRD4
CDK1_pY15
CASPASE3
CD26
COG3
DUSP4
IGF1R_pY1135Y1136
SHP2_pY542
