hsa-mir-3173
hsa-mir-328
hsa-mir-7851
hsa-mir-302b
hsa-mir-5008
hsa-mir-4788
hsa-mir-126
hsa-mir-2115
hsa-mir-378i
hsa-mir-3176
hsa-mir-3664
hsa-mir-1292
hsa-mir-520a
hsa-mir-101-1
hsa-mir-4741
hsa-mir-4707
hsa-mir-7113
hsa-mir-4320
hsa-mir-4326
hsa-mir-489
hsa-mir-1269a
hsa-mir-302c
hsa-mir-610
hsa-mir-4697
hsa-mir-8066
hsa-mir-3914-2
hsa-mir-3912
hsa-mir-9-2
hsa-mir-3663
hsa-mir-138-2
hsa-mir-422a
hsa-mir-6782
hsa-mir-3910-1
hsa-mir-378d-2
hsa-mir-517b
hsa-mir-1265
hsa-mir-4706
hsa-mir-184
hsa-mir-6854
hsa-mir-576
hsa-mir-7706
hsa-mir-4443
hsa-mir-518a-1
hsa-mir-520b
hsa-mir-302d
hsa-mir-567
hsa-mir-6717
hsa-mir-6773
hsa-mir-548a-2
hsa-mir-5190
hsa-mir-6887
hsa-mir-874
hsa-mir-548d-1
hsa-mir-1278
hsa-mir-6826
hsa-mir-7978
hsa-mir-378f
hsa-mir-6735
hsa-mir-516b-1
hsa-mir-432
hsa-mir-10a
hsa-mir-99b
hsa-mir-378a
hsa-mir-4469
hsa-mir-338
hsa-mir-4701
hsa-mir-137
hsa-mir-4755
hsa-mir-378d-1
hsa-mir-4501
hsa-mir-4654
hsa-mir-664a
hsa-mir-3189
hsa-mir-6855
hsa-mir-1305
hsa-mir-1277
hsa-mir-30e
hsa-mir-4756
hsa-mir-767
hsa-mir-2117
hsa-mir-6814
hsa-mir-3680-2
hsa-mir-4516
hsa-mir-4724
hsa-mir-6839
hsa-mir-4436b-2
hsa-mir-9-3
hsa-mir-548aa-2
hsa-mir-493
hsa-mir-412
hsa-mir-6830
hsa-mir-148b
hsa-mir-5591
hsa-mir-378j
hsa-mir-106a
hsa-mir-22
hsa-mir-6874
hsa-mir-455
hsa-mir-4437
hsa-mir-659
hsa-mir-1-1
hsa-mir-5698
hsa-mir-218-1
hsa-mir-199a-2
hsa-mir-454
hsa-mir-524
hsa-mir-323a
hsa-mir-3171
hsa-mir-5706
hsa-mir-6499
hsa-mir-5703
hsa-mir-151b
hsa-mir-6508
hsa-mir-4672
hsa-mir-25
hsa-mir-5191
hsa-mir-3178
hsa-mir-3622a
hsa-mir-636
hsa-mir-520f
hsa-mir-6807
hsa-mir-483
hsa-mir-3609
hsa-mir-758
hsa-mir-6720
hsa-mir-552
hsa-mir-3922
hsa-mir-1539
hsa-mir-6812
hsa-mir-5683
hsa-mir-7-3
hsa-mir-494
hsa-mir-4718
hsa-mir-1915
hsa-mir-3180-5
hsa-mir-296
hsa-mir-1263
hsa-mir-326
hsa-mir-892c
hsa-mir-376a-2
hsa-mir-379
hsa-mir-4431
hsa-mir-4749
hsa-mir-5684
hsa-mir-542
hsa-mir-4679-2
hsa-mir-4770
hsa-mir-1246
hsa-mir-6781
hsa-mir-4525
hsa-mir-4450
hsa-mir-8082
hsa-mir-194-2
hsa-mir-1912
hsa-mir-1291
hsa-mir-4682
hsa-mir-3661
hsa-mir-196b
hsa-mir-301b
hsa-mir-3939
hsa-mir-4739
hsa-mir-532
hsa-mir-6842
hsa-mir-3615
hsa-mir-6769a
hsa-mir-4649
hsa-mir-6511b-2
hsa-mir-1323
hsa-mir-548j
hsa-mir-548f-1
hsa-mir-3183
hsa-mir-3127
hsa-mir-488
hsa-mir-1245a
hsa-mir-5692c-1
hsa-mir-4692
hsa-mir-3161
hsa-mir-4530
hsa-mir-6510
hsa-mir-448
hsa-mir-4736
hsa-mir-656
hsa-mir-6716
hsa-mir-6788
hsa-mir-6726
hsa-mir-4664
hsa-mir-6509
hsa-mir-1273h
hsa-mir-450b
hsa-mir-1910
hsa-mir-181a-2
hsa-mir-1285-1
hsa-mir-215
hsa-mir-4467
hsa-mir-3180-1
hsa-mir-5588
hsa-mir-6744
hsa-mir-4797
hsa-mir-559
hsa-mir-208b
hsa-mir-122
hsa-mir-2681
hsa-mir-1199
hsa-mir-203a
